iso_code,continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TLS,Asia,Timor,2022-12-03,23354,138,17411.492,102.885,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943325,872617,779475,291233,144.88,65.06,58.11,21.71,NA,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298,NA,NA,NA,NA
TGO,Africa,Togo,2022-12-03,39332,290,4444.947,32.773,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3392046,2239907,1456018,427804,38.33,25.31,16.45,4.83,30.1,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700,NA,NA,NA,NA
TON,Oceania,Tonga,2022-12-03,16182,12,151421.861,112.289,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207744,91949,77464,38331,194.39,86.04,72.49,35.87,16.23,150.028,22.3,5.82,4.032,5425.621,NA,227.49,15.42,11.8,44.4,NA,2.6,70.91,0.725,106867,NA,NA,NA,NA
TTO,North America,Trinidad and Tobago,2022-12-03,185377,4267,121078.899,2786.989,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.796,1531043,NA,NA,NA,NA
TUN,Africa,Tunisia,2022-12-03,1147072,29268,92834.35,2368.706,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13189345,7215570,6391288,1273665,106.74,58.4,51.73,10.31,NA,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116,NA,NA,NA,NA
TUR,Asia,Turkey,2022-12-03,16919638,101203,198258.619,1185.863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152543341,57941051,53176961,41425329,178.75,67.89,62.31,48.54,11.11,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,85341248,NA,NA,NA,NA
TCA,North America,Turks and Caicos Islands,2022-12-03,6446,36,140970.126,787.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.22,NA,45726,NA,NA,NA,NA
TUV,Oceania,Tuvalu,2022-12-03,2805,NA,247463.608,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.067,NA,NA,NA,3575.104,3.3,NA,27.25,NA,NA,NA,NA,67.57,NA,11335,NA,NA,NA,NA
UGA,Africa,Uganda,2022-12-03,169733,3630,3592.264,76.826,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588,NA,NA,NA,NA
UKR,Europe,Ukraine,2022-12-03,5647790,118490,142255.464,2984.504,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779,39701744,NA,NA,NA,NA
ARE,Asia,United Arab Emirates,2022-12-03,1044704,2348,110654.457,248.699,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,9441138,NA,NA,NA,NA
GBR,Europe,United Kingdom,2022-12-03,24024746,212296,355875.05,3144.71,1.28,NA,NA,5840,86.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,67508936,NA,NA,NA,NA
USA,North America,United States,2022-12-03,98967906,1081431,292553.573,3196.759,1.12,3526,10.423,29698,87.789,NA,NA,33946,100.346,NA,NA,NA,NA,NA,655280140,267346533,228369460,NA,197.37,80.52,68.78,NA,23.2,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,338289856,NA,NA,NA,NA
OWID_UMC,NA,Upper middle income,2022-12-03,140687653,2503965,55697.56,991.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5339171948,2097536203,1983326260,1225997972,211.38,83.04,78.52,48.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525921300,NA,NA,NA,NA
URY,South America,Uruguay,2022-12-03,993875,7537,290369.335,2202.001,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8749062,3002534,2894647,2851881,255.61,87.72,84.57,83.32,13.89,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.817,3422796,NA,NA,NA,NA
UZB,Asia,Uzbekistan,2022-12-03,246833,1637,7128.206,47.274,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.72,34627648,NA,NA,NA,NA
VUT,Oceania,Vanuatu,2022-12-03,11981,14,36667.85,42.847,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,NA,70.47,0.609,326744,NA,NA,NA,NA
VAT,Europe,Vatican,2022-12-03,29,NA,35891.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA,808,NA,NA,NA,NA
VEN,South America,Venezuela,2022-12-03,547772,5829,19354.738,205.959,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37860994,22157232,NA,651502,133.78,78.29,NA,2.3,13.89,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.711,28301700,NA,NA,NA,NA
VNM,Asia,Vietnam,2022-12-03,11517517,43177,117302.025,439.743,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,98186856,NA,NA,NA,NA
OWID_WLS,Europe,Wales,2022-11-29,NA,NA,NA,NA,NA,10,3.155,341,107.571,NA,NA,40,12.618,NA,NA,NA,NA,NA,8435836,2590745,2469437,2083322,266.11,81.73,77.9,65.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3170000,NA,NA,NA,NA
WLF,Oceania,Wallis and Futuna,2022-12-03,3415,7,294498.103,603.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.94,NA,11596,NA,NA,NA,NA
OWID_WRL,NA,World,2022-12-03,644934734,6640260,80868.494,832.624,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13010487094,5462229587,5024984837,2629011491,163.14,68.49,63.01,32.97,NA,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024,NA,NA,NA,NA
YEM,Asia,Yemen,2022-12-03,11945,2159,354.487,64.072,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1239152,1003208,757669,58811,3.68,2.98,2.25,0.17,5.56,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612,NA,NA,NA,NA
ZMB,Africa,Zambia,2022-12-03,333746,4019,16672.57,200.773,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10802844,NA,NA,NA,53.97,NA,NA,NA,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,20017670,NA,NA,NA,NA
ZWE,Africa,Zimbabwe,2022-12-03,259164,5620,15879.623,344.351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,NA,NA,NA,NA
