iso_code,continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PSE,Asia,Palestine,2022-12-03,703036,5708,133909.681,1087.222,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,0.708,5250076,NA,NA,NA,NA
PAN,North America,Panama,2022-12-03,1002161,8526,227320.485,1933.955,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8674471,NA,NA,NA,196.76,NA,NA,NA,14.81,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,78.51,0.815,4408582,NA,NA,NA,NA
PNG,Oceania,Papua New Guinea,2022-12-03,46247,668,4559.668,65.861,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698357,364090,303884,30383,6.89,3.59,3,0.3,11.11,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,0.555,10142625,NA,NA,NA,NA
PRY,South America,Paraguay,2022-12-03,777525,19630,114666.604,2894.962,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9475354,3974532,3529219,1971603,139.74,58.61,52.05,29.08,13.89,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,6780745,NA,NA,NA,NA
PER,South America,Peru,2022-12-03,4291373,217470,126033.037,6386.861,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86032966,30118752,28359750,27554464,252.67,88.46,83.29,80.92,11.11,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.777,34049588,NA,NA,NA,NA
PHL,Asia,Philippines,2022-12-03,4039978,64701,34960.304,559.896,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168893220,78196194,73738568,20946059,146.15,67.67,63.81,18.13,25.41,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,115559008,NA,NA,NA,NA
POL,Europe,Poland,2022-12-03,6354298,118340,159426.827,2969.104,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57664516,22828328,22601575,15086719,144.68,57.28,56.71,37.85,9.26,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,39857144,NA,NA,NA,NA
PRT,Europe,Portugal,2022-12-03,5546290,25517,540002.65,2484.408,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27442872,9769228,8882402,7003204,267.19,95.12,86.48,68.19,11.11,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,10270857,NA,NA,NA,NA
QAT,Asia,Qatar,2022-12-03,480099,685,178135.682,254.162,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7597911,2849216,2849216,1899479,281.91,105.72,105.72,70.48,NA,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,0.848,2695131,NA,NA,NA,NA
ROU,Europe,Romania,2022-12-03,3296834,67276,167698.699,3422.101,-0.01,89,4.527,697,35.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,19659270,NA,NA,NA,NA
